TDI Format 2.0	index	value	stage	curve_fit:Ic	curve_fit:Ic_err	curve_fit:Rn	curve_fit:Rn_err	counter:Value
counter.scan_generator.stages[2][1]{float}=0.025	23.0	0.5750000000000001	0.0	0.00026802367848380375	1.1045502314233741e-06	0.004998014761985605	5.2019383253528436e-06	0.5750000000000001
counter.scan_generator.stages[2][2]{int}=100	24.0	0.6000000000000001	0.0	0.0002533068771718832	1.457660745467856e-06	0.00499050378499018	5.445703944110593e-06	0.6000000000000001
counter.scan_generator.stages[2][3]{bool}=True	25.0	0.625	0.0	0.00023115401521650196	1.5139056687524505e-06	0.004992797564449791	5.51169754693824e-06	0.625
counter.scan_generator.units{str}=''	26.0	0.65	0.0	0.00021894500932152493	1.537989472275916e-06	0.004996037595210623	5.17765542723008e-06	0.65
curve_fit.type{str}='transform'	27.0	0.675	0.0	0.00020214041262969307	1.1955081498818238e-06	0.0049922996215821455	5.005033404197171e-06	0.675
curve_fit.class{str}='stoner_measurement.plugins.transform.curve_fit:CurveFitPlugin'	28.0	0.7000000000000001	0.0	0.00018609469760066838	1.7745633306652852e-06	0.004996775826562005	5.246856129716277e-06	0.7000000000000001
curve_fit.instance_name{str}='curve_fit'	29.0	0.7250000000000001	0.0	0.00016952992334125374	1.7371900214524244e-06	0.004998970793401708	5.445646005627561e-06	0.7250000000000001
curve_fit.trace_key{str}='dummy:Dummy'	30.0	0.75	0.0	0.00014877193395010173	1.999784129309678e-06	0.004998216277161134	5.425502296744375e-06	0.75
curve_fit.column_key{str}=''	31.0	0.775	0.0	0.00014038861455489457	1.872853039830734e-06	0.005007319543907257	5.027706340020272e-06	0.775
curve_fit.advanced_mode{bool}=False	32.0	0.8	0.0	0.00011949292638697691	1.727130825413084e-06	0.005011335484555354	5.265657359824764e-06	0.8
curve_fit.x_expr{str}="dummy.data['Dummy'].x"	33.0	0.8250000000000001	0.0	9.662714221027307e-05	1.9286546242387735e-06	0.004998552523238793	5.247293912144753e-06	0.8250000000000001
curve_fit.y_expr{str}="dummy.data['Dummy'].x"	34.0	0.8500000000000001	0.0	8.870537417583827e-05	2.0717206022986236e-06	0.0050053301837864675	5.126218293009455e-06	0.8500000000000001
curve_fit.y_error_expr{str}=''	35.0	0.875	0.0	7.491409914297479e-05	2.2679610675150736e-06	0.004992272428856329	5.046299528208878e-06	0.875
curve_fit.fit_code{str}='def fit(I,Ic,Rn):\n    """RSJ Model function."""\n    RSJ=Rn*np.sign(I)*np.sqrt(np.abs(I**2-Ic**2))\n    return np.where(np.abs(I)<Ic,0,RSJ)\n\n\n# Optional: define p0(x, y) to compute initial parameter estimates.\ndef p0(I, V):\n    II=np.where(np.isclose(I,0),1E-12,I)\n    R=V/II\n    Rn=R[np.abs(V)>V.max()/2]\n    Rn=Rn.mean()\n    Ic=II[np.abs(V)<V.max()/20]\n    Ic=(Ic.max()-Ic.min())/2\n    return (Ic,Rn)\n'	36.0	0.9	0.0	5.644730630628818e-05	5.221575589198499e-08	0.004994738609041739	4.992699301764899e-06	0.9
curve_fit.param_names[0]{str}='Ic'	37.0	0.925	0.0	4.543445646099917e-05	1.5799648936945047e-06	0.00500018850491637	5.037308230390927e-06	0.925
curve_fit.param_names[1]{str}='Rn'	38.0	0.9500000000000001	0.0	4.4445576194224344e-05	2.2311097627563565e-06	0.0050036809253046575	5.321004971115441e-06	0.9500000000000001
curve_fit.param_settings.Ic.min{NoneType}=None	39.0	0.9750000000000001	0.0	1.0331437151098486e-05	8.511240601160803e-07	0.004995565060193213	5.171810936234857e-06	0.9750000000000001
curve_fit.param_settings.Ic.initial{NoneType}=None	40.0	1.0	0.0	2.3618488075461188e-05	2.8197455556751925e-06	0.004998248012553463	5.307244719228388e-06	1.0
curve_fit.param_settings.Ic.max{NoneType}=None	41.0	1.0250000000000001	0.0	1.4644922169592313e-05	2.7896008410175403e-06	0.004990568779116379	5.043500534556356e-06	1.0250000000000001
curve_fit.param_settings.Rn.min{NoneType}=None	42.0	1.05	0.0	2.0521155344699634e-05	2.7815418878087182e-06	0.005000359575778942	5.372618702151036e-06	1.05
curve_fit.param_settings.Rn.initial{NoneType}=None	43.0	1.075	0.0	3.7543885241130457e-05	2.9259843361269126e-06	0.0049940304938972365	5.065544438828315e-06	1.075
curve_fit.param_settings.Rn.max{NoneType}=None	44.0	1.1	0.0	5.138716107729556e-05	2.626338040275189e-06	0.004997468885108211	4.912522916508752e-06	1.1
curve_fit.show_initial_trace{bool}=True	45.0	1.125	0.0	5.953073796963926e-05	2.0330240756784497e-06	0.004998225564244311	5.023089866361798e-06	1.125
curve_fit.show_best_fit_trace{bool}=True	46.0	1.1500000000000001	0.0	6.683710751473584e-05	1.3762104534890215e-06	0.005004726959191045	5.032848051416097e-06	1.1500000000000001
details.type{str}='command'	47.0	1.175	0.0	7.138931196316944e-05	1.88585222696062e-06	0.005009012642509956	5.121594170348094e-06	1.175
details.class{str}='stoner_measurement.plugins.command.details:DetailsCommand'	48.0	1.2000000000000002	0.0	8.078807196189297e-05	2.1512578350508276e-06	0.005005450129314614	4.8116319938118744e-06	1.2000000000000002
details.instance_name{str}='details'	49.0	1.225	0.0	8.270485786597255e-05	2.0074862560642953e-06	0.005004689141630696	5.058783601366024e-06	1.225
details.user{str}='Gavin'	50.0	1.25	0.0	8.803202964602217e-05	2.0678820742600045e-06	0.004999247258012475	4.912558602695196e-06	1.25
details.sample{str}='Dummy_JJ_1'	51.0	1.2750000000000001	0.0	9.310234148154012e-05	6.391923138042549e-07	0.004995324560521093	4.986162561284651e-06	1.2750000000000001
details.project{str}='Testing Code'	52.0	1.3	0.0	0.00010256479581887104	2.0000244863847952e-06	0.004999850089832537	5.144804579651021e-06	1.3
details.notes{str}='This routine tests generating RSK data, fitting it, plotting it and the fits and the xtracted parameters and then saving the data.'	53.0	1.3250000000000002	0.0	0.00010463695084718748	1.7012218302384526e-06	0.00500573853360427	5.097500631913439e-06	1.3250000000000002
dummy.type{str}='trace'	54.0	1.35	0.0	0.00010633351001792397	1.2871796314580327e-06	0.005001805410205087	5.039445513811318e-06	1.35
dummy.class{str}='stoner_measurement.plugins.trace.dummy:DummyPlugin'	55.0	1.375	0.0	0.00010930537497728812	1.994958921165313e-06	0.0049954651850404545	5.079316775777735e-06	1.375
dummy.instance_name{str}='dummy'	56.0	1.4000000000000001	0.0	0.00011273408980728691	1.5550769194099756e-06	0.004999779658675575	5.100443974934871e-06	1.4000000000000001
dummy.scan_generator.type{str}='FunctionScanGenerator'	57.0	1.425	0.0	0.00011000111758615372	1.98938963908936e-06	0.005001044350730308	5.253705681761758e-06	1.425
dummy.scan_generator.waveform{str}='Triangle'	58.0	1.4500000000000002	0.0	0.00010638969240891215	1.2383467737179295e-06	0.004993797766911696	4.915609802689726e-06	1.4500000000000002
dummy.scan_generator.amplitude{float}=0.002	59.0	1.475	0.0	0.00011140225153831947	1.7731584772141656e-06	0.004995976754488514	5.112814558940837e-06	1.475
dummy.scan_generator.offset{float}=0.0	60.0	1.5	0.0	0.00011089735813985392	1.843795561088515e-06	0.004996918707124621	5.130870098702143e-06	1.5
dummy.scan_generator.phase{float}=0.0	61.0	1.5250000000000001	0.0	0.00010481383273745011	1.7019689479912912e-06	0.005006208787814837	5.193232142769196e-06	1.5250000000000001
dummy.scan_generator.exponent{float}=2.0	62.0	1.55	0.0	0.0001093652968994001	2.1905594869029664e-06	0.005005801635121086	5.604501934181604e-06	1.55
dummy.scan_generator.periods{float}=1.0	63.0	1.5750000000000002	0.0	9.456452554458715e-05	2.0189545057925405e-06	0.0049940723262530545	4.832958608817387e-06	1.5750000000000002
dummy.scan_generator.num_points{int}=501	64.0	1.6	0.0	9.20526599439282e-05	1.3554711216305942e-06	0.005014641026377479	5.0485376707586346e-06	1.6
dummy.scan_generator.units{str}='A'	65.0	1.625	0.0	9.534789525804957e-05	2.0917137337639856e-06	0.005003978549278482	5.2314690809440575e-06	1.625
dummy.report_channel_statistics{bool}=False	66.0	1.6500000000000001	0.0	8.867637700348322e-05	1.975748561028148e-06	0.004999163182514035	4.8733639965472435e-06	1.6500000000000001
dummy.critical_current{str}='0.5E-3*np.abs(np.sinc(counter.value))'	67.0	1.675	0.0	7.702286247369299e-05	1.933151715753895e-06	0.004991772496378603	5.044546542512395e-06	1.675
dummy.normal_resistance{str}='5.0E-3'	68.0	1.7000000000000002	0.0	8.024683879175459e-05	2.2818353215408128e-06	0.004998070883770326	4.9604328980537795e-06	1.7000000000000002
dummy.noise_level{str}='1.0E-7'	69.0	1.725	0.0	7.140440796334093e-05	1.88669353673979e-06	0.004999757025608974	5.126703300238272e-06	1.725
dummy.rounding_level{str}='2.0'	70.0	1.75	0.0	6.424024300702329e-05	2.333426685985995e-06	0.004995327779967043	5.376150436873304e-06	1.75
k6221_dc_iv.type{str}='trace'	71.0	1.7750000000000001	0.0	6.309477804107523e-05	2.4906574702672124e-06	0.005005340041330523	5.269088354246765e-06	1.7750000000000001
k6221_dc_iv.class{str}='stoner_measurement.plugins.trace.k6221_2182a:Keithley6221_2182APlugin'	72.0	1.8	0.0	5.418053378014946e-05	2.1382321510702122e-06	0.005007164979497016	5.169747584810263e-06	1.8
k6221_dc_iv.instance_name{str}='k6221_dc_iv'	73.0	1.8250000000000002	0.0	4.337205582233995e-05	2.4570330563217044e-06	0.00499475668012958	5.005446710459734e-06	1.8250000000000002
k6221_dc_iv.scan_generator.type{str}='FunctionScanGenerator'	74.0	1.85	0.0	4.8798968444076976e-05	2.1997616150908306e-06	0.00500558623547603	4.978828853158924e-06	1.85
k6221_dc_iv.scan_generator.waveform{str}='Sine'	75.0	1.875	0.0	3.637407719426699e-05	1.6740021554613762e-06	0.0049997087032815695	5.2446949471480075e-06	1.875
k6221_dc_iv.scan_generator.amplitude{float}=1.0	76.0	1.9000000000000001	0.0	2.8026011322176665e-05	2.0636308473594408e-06	0.0050031725129718145	5.253581454992976e-06	1.9000000000000001
k6221_dc_iv.scan_generator.offset{float}=0.0	77.0	1.925	0.0	2.2149082603528456e-05	3.431876021067244e-06	0.004989763705022929	5.013990478483558e-06	1.925
k6221_dc_iv.scan_generator.phase{float}=0.0	78.0	1.9500000000000002	0.0	1.7028457202295263e-05	3.2021526958842796e-06	0.005003818800059457	5.2400601292378e-06	1.9500000000000002
k6221_dc_iv.scan_generator.exponent{float}=1.0	79.0	1.975	0.0	1.5488022824507758e-05	4.262672573738563e-06	0.00500312365490268	5.202887126387143e-06	1.975
k6221_dc_iv.scan_generator.periods{float}=1.0	80.0	2.0	0.0	2.3141587760030426e-05	3.037266396196501e-06	0.005003826670037393	5.167005954112403e-06	2.0
k6221_dc_iv.scan_generator.num_points{int}=100	81.0	2.025	0.0	1.5813593935574536e-05	3.9275874843412546e-06	0.005000210844491185	5.0290031533870334e-06	2.025
k6221_dc_iv.scan_generator.units{str}='A'	82.0	2.0500000000000003	0.0	2.0186236821214162e-05	2.832483405477172e-06	0.004997980998863848	4.972627397965932e-06	2.0500000000000003
k6221_dc_iv.report_channel_statistics{bool}=False	83.0	2.075	0.0	2.4942800693370204e-05	1.0032929849188937e-06	0.004988699239676471	4.864439098480567e-06	2.075
k6221_dc_iv.resource_6221{str}='GPIB0::22::INSTR'	84.0	2.1	0.0	2.3699409751042125e-05	2.5689253430231323e-06	0.005004914332568976	4.935994304994968e-06	2.1
k6221_dc_iv.resource_2182a{str}='GPIB0::7::INSTR'	85.0	2.125	0.0	4.1654462164209075e-05	2.886683060593667e-06	0.004997004491535721	5.030953094296964e-06	2.125
k6221_dc_iv.connection_mode{str}='via_6221_serial'	86.0	2.15	0.0	3.268061729384988e-05	7.06192773202294e-07	0.0050031809144199	5.006968004394792e-06	2.15
k6221_dc_iv.compliance_mode{str}='voltage'	87.0	2.1750000000000003	0.0	4.189671045860923e-05	2.840188581731799e-06	0.0049969977770558905	5.043729408817353e-06	2.1750000000000003
k6221_dc_iv.compliance{float}=10.0	88.0	2.2	0.0	4.147202231915198e-05	3.0424531881446136e-06	0.004992598828993252	5.227605434962098e-06	2.2
k6221_dc_iv.compliance_resistance{float}=1000.0	89.0	2.225	0.0	4.024458114494911e-05	1.951107811728541e-06	0.00500137973519652	5.00069762810813e-06	2.225
k6221_dc_iv.source_delay{float}=0.001	90.0	2.25	0.0	4.732660316412534e-05	2.5554742638312073e-06	0.005007169720827725	4.970166259839419e-06	2.25
k6221_dc_iv.source_range_mode{str}='BEST'	91.0	2.275	0.0	5.969345962907829e-05	1.9948225682698614e-06	0.005003423965361553	5.041749164608888e-06	2.275
k6221_dc_iv.source_range{float}=0.001	92.0	2.3000000000000003	0.0	5.7890415662706663e-05	2.4496302518462663e-06	0.004998930341955203	5.154255075240577e-06	2.3000000000000003
k6221_dc_iv.nplc{float}=1.0	93.0	2.325	0.0	6.973068836110829e-05	2.3993118829541027e-06	0.005000021228899199	5.521172448958159e-06	2.325
k6221_dc_iv.voltage_range{float}=0.0	94.0	2.35	0.0	6.349847435491953e-05	2.4072348090414893e-06	0.005000783227587879	5.232439278521364e-06	2.35
k6221_dc_iv.filter_enabled{bool}=False	95.0	2.375	0.0	6.270613925072605e-05	2.499994485310952e-06	0.005002616349479971	5.154286319291193e-06	2.375
k6221_dc_iv.filter_count{int}=10	96.0	2.4000000000000004	0.0	6.792812962625116e-05	2.481925249676368e-06	0.00500644311494935	5.108312852695227e-06	2.4000000000000004
k6221_dc_iv.analog_filter{bool}=False	97.0	2.4250000000000003	0.0	5.988264823725668e-05	1.9617745795861945e-06	0.005002113451177987	5.094667060729626e-06	2.4250000000000003
k6221_dc_iv.relative_enabled{bool}=False	98.0	2.45	0.0	7.541778137857737e-05	2.214647056616029e-06	0.005008469793586842	5.10153134266354e-06	2.45
k6221_dc_iv.digits{int}=6	99.0	2.475	0.0	6.511247111727351e-05	2.0636110044663972e-06	0.0050019179120338745	5.2040561002038565e-06	2.475
k6221_dc_iv.output_tlink{int}=1	100.0	2.5	0.0	6.40842746888143e-05	2.1775725364055903e-06	0.004996667380700652	4.95129777112395e-06	2.5
k6221_dc_iv.input_tlink{int}=2	101.0	2.475	1.0	6.805607098241243e-05	2.5590989020453165e-06	0.004997218443856715	5.294106993555824e-06	2.475
plot_clear.type{str}='command'	102.0	2.45	1.0	6.471192822040651e-05	2.0669968628544095e-06	0.004994787900770397	4.9797689257350315e-06	2.45
plot_clear.class{str}='stoner_measurement.plugins.command.plot_clear:PlotClearCommand'	103.0	2.425	1.0	7.153518906108516e-05	1.865800052754688e-06	0.004998216148097986	5.160844151278451e-06	2.425
plot_clear.instance_name{str}='plot_clear'	104.0	2.4	1.0	6.86781910174578e-05	2.453524715536957e-06	0.004994992175181972	5.258492048854507e-06	2.4
plot_points.type{str}='command'	105.0	2.375	1.0	6.253326365090758e-05	2.558405820754883e-06	0.004997542268449724	5.2155975975050495e-06	2.375
plot_points.class{str}='stoner_measurement.plugins.command.plot_points:PlotPointsCommand'	106.0	2.35	1.0	6.14620785286496e-05	1.0611927308172225e-06	0.00499844472452891	4.6717266165621475e-06	2.35
plot_points.instance_name{str}='plot_points'	107.0	2.325	1.0	5.8744138660772926e-05	2.268530546243818e-06	0.004997616457357156	5.1310362820779615e-06	2.325
plot_points.x_key{str}='counter:Value'	108.0	2.3	1.0	5.355089047088993e-05	2.133538744290746e-06	0.005004262471942111	4.771610841208637e-06	2.3
plot_points.x_axis_name{str}='top'	109.0	2.275	1.0	5.8935266174488453e-05	2.1103886504615964e-06	0.00500070708303383	4.867548149328837e-06	2.275
plot_points.y_entries[0].key{str}='curve_fit:Ic'	110.0	2.25	1.0	5.424665705095292e-05	2.21062335229389e-06	0.004993553430697897	5.383254664485301e-06	2.25
plot_points.y_entries[0].label{str}='Ic'	111.0	2.225	1.0	4.7788507270067325e-05	2.518399959538784e-06	0.0050005839551485924	5.0921817680078334e-06	2.225
plot_points.y_entries[0].y_axis{str}='left'	112.0	2.2	1.0	5.267764340553274e-05	2.3690270774892293e-06	0.004999855481838286	4.871993154184781e-06	2.2
plot_points.y_entries[1].key{str}='curve_fit:Rn'	113.0	2.175	1.0	4.471800088322634e-05	1.9786126692497753e-06	0.00500113941792769	4.987597877447884e-06	2.175
plot_points.y_entries[1].label{str}='Rn'	114.0	2.15	1.0	3.478334880266602e-05	2.6225193120775565e-06	0.0050022011265406265	5.202491054457078e-06	2.15
plot_points.y_entries[1].y_axis{str}='right'	115.0	2.125	1.0	2.8774343525036463e-05	4.2588140876177275e-07	0.005004624111688067	5.057959441522026e-06	2.125
plot_trace.type{str}='command'	116.0	2.1	1.0	2.7350308335780615e-05	2.4660392833426728e-06	0.004997399614377845	4.9849183809310515e-06	2.1
plot_trace.class{str}='stoner_measurement.plugins.command.plot_trace:PlotTraceCommand'	117.0	2.075	1.0	2.161629528601611e-05	3.7228028203261645e-07	0.005003611216857779	4.812825374021494e-06	2.075
plot_trace.instance_name{str}='plot_trace'	118.0	2.05	1.0	2.8800009720666104e-05	3.339503131760474e-06	0.005003544399125436	5.07188017034368e-06	2.05
plot_trace.trace_key{str}='dummy:Dummy'	119.0	2.025	1.0	6.272402783947785e-06	5.506522510619336e-06	0.005002318985838793	4.821391638845096e-06	2.025
plot_trace.column_key{str}=''	120.0	2.0	1.0	1.960299227173446e-05	3.1240244384168825e-06	0.004995918309372296	4.837451808926507e-06	2.0
plot_trace.transpose{bool}=True	121.0	1.975	1.0	1.9207463087092155e-05	3.465835646490013e-06	0.004999798300397299	5.026833981655785e-06	1.975
plot_trace.advanced_mode{bool}=False	122.0	1.95	1.0	1.6060994702463825e-05	3.7509440145372808e-06	0.00500099379083886	5.005934880590559e-06	1.95
plot_trace.x_expr{str}="dummy.data['Dummy'].x"	123.0	1.9249999999999998	1.0	1.4395243934967254e-05	3.090157285531854e-06	0.005002103378490296	5.079944828599748e-06	1.9249999999999998
plot_trace.y_expr{str}="dummy.data['Dummy'].x"	124.0	1.9	1.0	3.2765283064952224e-05	1.3196561210646754e-07	0.005000451113845616	4.891793802888934e-06	1.9
plot_trace.title_expr{str}="'plot'"	125.0	1.875	1.0	4.120344301734774e-05	1.126452012220168e-06	0.0050025758444373755	5.2706442069661025e-06	1.875
plot_trace.x_axis_name{str}='bottom'	126.0	1.85	1.0	4.200707344155463e-05	2.6577557208926458e-06	0.004989992856100727	4.75571460794835e-06	1.85
plot_trace.y_axis_name{str}='left'	127.0	1.825	1.0	5.1761921462740104e-05	2.755054126263662e-06	0.00500129241146614	5.287802108521928e-06	1.825
save.type{str}='command'	128.0	1.7999999999999998	1.0	5.4656152449701e-05	1.989725427793056e-06	0.0049976915001440575	5.18359477108299e-06	1.7999999999999998
save.class{str}='stoner_measurement.plugins.command.save:SaveCommand'	129.0	1.775	1.0	5.9430402157499906e-05	1.9918828718100517e-06	0.0049993652763095165	4.857698071194836e-06	1.775
save.instance_name{str}='save'	130.0	1.75	1.0	6.916502779080962e-05	2.309819394632335e-06	0.004996933381107811	5.106040048833751e-06	1.75
save.path_expr{str}="'output2.txt'"	131.0	1.725	1.0	7.23320458542485e-05	1.5145258812370068e-06	0.004997127706036067	4.856681322166422e-06	1.725
save.save_mode{str}='data'	132.0	1.7	1.0	7.540561489479601e-05	2.2299634144109464e-06	0.004996872367984211	5.120740148126779e-06	1.7
save.data_source{str}='counter'	133.0	1.6749999999999998	1.0	8.318878795585528e-05	1.9925639721114792e-06	0.0049948006229518825	5.217710059100101e-06	1.6749999999999998
save.no_overwrite{bool}=True	134.0	1.65	1.0	8.667556485457852e-05	2.2775278873477945e-06	0.004997152525116771	5.057741319342514e-06	1.65
status.type{str}='command'	135.0	1.625	1.0	9.429577734060251e-05	2.117951221321902e-06	0.004999022612409456	5.0097653390161805e-06	1.625
status.class{str}='stoner_measurement.plugins.command.status:StatusCommand'	136.0	1.6	1.0	9.798280202843195e-05	1.6539980446905346e-06	0.005004002924267475	5.155760060960107e-06	1.6
status.instance_name{str}='status'	137.0	1.575	1.0	0.00010273714335596722	2.088199975366684e-06	0.005004335453130882	5.429523105581362e-06	1.575
status.status_expr{str}="'Ready'"	138.0	1.5499999999999998	1.0	0.00010087491063310736	2.19332232218186e-06	0.0049997517768774055	5.19832214816456e-06	1.5499999999999998
sweep_time.type{str}='state_sweep'	139.0	1.525	1.0	0.00010804925151444814	2.200891724958991e-06	0.0049964226174908635	5.305524135945747e-06	1.525
sweep_time.class{str}='stoner_measurement.plugins.state_sweep.sweep_time:SweepTimePlugin'	140.0	1.5	1.0	0.00010587370637359234	1.4088793614881948e-06	0.0050008904869499275	4.974807575158132e-06	1.5
sweep_time.instance_name{str}='sweep_time'	141.0	1.4749999999999999	1.0	0.00011299688648183149	1.5154287677688209e-06	0.005004723741862011	5.1551429744629054e-06	1.4749999999999999
sweep_time.collect_data{bool}=False	142.0	1.45	1.0	0.0001099625637256353	1.962465487997968e-06	0.005003588481210185	5.173477973515728e-06	1.45
sweep_time.clear_on_start{bool}=True	143.0	1.425	1.0	0.00011080160976325631	1.8124447931002347e-06	0.005009229587059102	5.0250987165470575e-06	1.425
sweep_time.collect_filter{str}='sweep_time.meas_flag'	144.0	1.4	1.0	0.00011089453219100241	1.8055947549147223e-06	0.005003151665638026	5.030563705389297e-06	1.4
sweep_time.clear_filter{str}='True'	145.0	1.375	1.0	0.00010888736681831855	2.1468564345485253e-06	0.004995782740518839	5.361250508698652e-06	1.375
sweep_time.collect_outputs{NoneType}=None	146.0	1.3499999999999999	1.0	0.00010809369323639962	2.200276036361777e-06	0.005002367688363647	5.321366987167628e-06	1.3499999999999999
sweep_time.sweep_generator.type{str}='MonitorAndFilterSweepGenerator'	147.0	1.325	1.0	0.00010728516715599663	7.550798598119005e-07	0.005000576568557161	4.9345762051641034e-06	1.325
sweep_time.sweep_generator.rows[0][0]{str}=''	148.0	1.2999999999999998	1.0	0.00010046850513220892	2.262814714902534e-06	0.005003700959577387	5.277612616502417e-06	1.2999999999999998
sweep_time.sweep_generator.rows[0][1]{bool}=False	149.0	1.275	1.0	9.740997466125978e-05	1.6952903033699854e-06	0.00500484888572272	4.951207072746999e-06	1.275
sweep_time.sweep_generator.rows[0][2]{float}=0.0	150.0	1.25	1.0	9.152724916654934e-05	1.4951130633311515e-06	0.004999656601560631	4.931294856295788e-06	1.25
sweep_time.sweep_generator.timeout{float}=1.0	151.0	1.2249999999999999	1.0	8.774269893214327e-05	2.3028831975195505e-06	0.0050008070668119105	5.38806267743396e-06	1.2249999999999999
sweep_time.sweep_generator.termination_condition{str}=''	152.0	1.2	1.0	8.457502989927238e-05	1.6267457322592697e-06	0.0050052786843812	5.0368330396451866e-06	1.2
sweep_time.sweep_generator.poll_seconds{float}=0.05	153.0	1.1749999999999998	1.0	7.519107261066022e-05	2.1681125307495792e-06	0.005000666768455729	4.914441624766605e-06	1.1749999999999998
sweep_time.sweep_timeout_factor{float}=2.0	154.0	1.15	1.0	6.212762097860518e-05	2.532191793166138e-06	0.004998426713112408	5.042546018990216e-06	1.15
wait.type{str}='command'	155.0	1.125	1.0	5.8631916144516974e-05	2.2225132443246496e-06	0.005003816156226889	4.980703867561434e-06	1.125
wait.class{str}='stoner_measurement.plugins.command.wait:WaitCommand'	156.0	1.0999999999999999	1.0	4.9547406707049676e-05	1.9410527189529453e-06	0.005003265719694715	4.965934563004484e-06	1.0999999999999999
wait.instance_name{str}='wait'	157.0	1.075	1.0	4.0712873321930254e-05	1.6698195249167628e-06	0.004997865510754154	5.0966870605521925e-06	1.075
wait.delay_expr{str}='1.0'	158.0	1.0499999999999998	1.0	2.5275725151334458e-05	3.161846714458691e-06	0.004996127706923223	4.6626341841165996e-06	1.0499999999999998
plot_trace_2.type{str}='command'	159.0	1.025	1.0	2.1632096729549445e-05	3.551825238860245e-06	0.00500337068126104	4.8809882649111924e-06	1.025
