TDI Format=Text 1.0	VA1	CS1	VA2	CS2
method.initialisation routines=\00\00\00\00	1.736467E-1	1.841583E+2	-5.798340E-3	4.119873E-2
method.read x parameter=temperature	1.765459E-1	1.859283E+2	-5.950928E-3	4.119873E-2
method.x stability parameter=temp dT/dt	1.779192E-1	1.876221E+2	-5.798340E-3	4.119873E-2
method.y variables=\00\00\00\01\00\00\00\00	1.806658E-1	1.893158E+2	-5.798340E-3	3.967285E-2
method::acquire.tip=Measure a single I-V curve	1.838701E-1	1.910553E+2	-5.645752E-3	3.967285E-2
method::ic.tip=Measure critical currents	1.855486E-1	1.927185E+2	-5.798340E-3	4.119873E-2
method::ic::3t-inj=ic(3T).ini	1.875322E-1	1.944122E+2	-5.798340E-3	4.119873E-2
method::ic::3t-inj.tip=Measure ic as a function of injected current	1.893633E-1	1.960754E+2	-5.493164E-3	4.272461E-2
method::ic::acquire=ic histogram.ini	1.913469E-1	1.977539E+2	-5.493164E-3	3.814697E-2
method::ic::acquire.tip=Measure a histogram of ic	1.937883E-1	1.993713E+2	-5.340576E-3	4.119873E-2
method::ic::b-field=ic(b).ini	1.962297E-1	2.010345E+2	-5.645752E-3	4.119873E-2
method::ic::b-field.tip=Measure Ic as a function of magnetic field	1.983660E-1	2.026520E+2	-5.493164E-3	4.119873E-2
method::ic::scope=manual scope.ini	2.001970E-1	2.042694E+2	-5.645752E-3	4.119873E-2
method::ic::setup=manual switch.ini	2.024858E-1	2.058563E+2	-5.340576E-3	4.119873E-2
method::ic::temp=ic(T).ini	2.035540E-1	2.074432E+2	-5.493164E-3	4.119873E-2
method::ic::temp.tip=Measure Ic as a function of temperature	2.061480E-1	2.090454E+2	-5.493164E-3	3.967285E-2
method::ic::u-wave=ic(u-wave).ini	2.079790E-1	2.106018E+2	-5.493164E-3	3.967285E-2
method::ic::u-wave.tip=Measure Ic and shapiro steps	2.101152E-1	2.121735E+2	-5.645752E-3	3.814697E-2
method::iv.tip=Measure I-V characteristics	2.124041E-1	2.136993E+2	-5.645752E-3	3.967285E-2
method::iv::3t-inj=iv(3T).ini	2.151506E-1	2.152405E+2	-5.950928E-3	3.814697E-2
method::iv::3t-inj.tip=Measure I-V as a function of injected current	2.171343E-1	2.167511E+2	-5.798340E-3	4.119873E-2
method::iv::acquire=iv series.ini	2.191179E-1	2.182770E+2	-5.950928E-3	3.814697E-2
method::iv::b-field=iv(B).ini	2.204912E-1	2.197723E+2	-5.798340E-3	3.967285E-2
method::iv::b-field.tip=Measure I-V as a function of magnetic field	2.229326E-1	2.212219E+2	-5.798340E-3	3.814697E-2
method::iv::scope=manual scope.ini	2.252214E-1	2.227173E+2	-5.950928E-3	3.662109E-2
method::iv::scope::quit=\00\00\00\01\00\00\00\1Fwaveform control front panel.vi	2.267473E-1	2.241669E+2	-5.493164E-3	3.814697E-2
method::iv::setup=manual switch.ini	2.288835E-1	2.256317E+2	-5.798340E-3	3.814697E-2
method::iv::setup::quit=\00\00\00\01\00\00\00\11switch control.vi	2.307146E-1	2.270508E+2	-5.645752E-3	3.814697E-2
method::iv::temp=iv(T).ini	2.328508E-1	2.285004E+2	-5.798340E-3	3.814697E-2
method::iv::temp.tip=Measure I-V as a function of temperature	2.343767E-1	2.298584E+2	-5.645752E-3	3.967285E-2
method::iv::temp::quit=\00\00\00\01\00\00\00\13IV Single Screen.vi	2.363604E-1	2.312775E+2	-5.798340E-3	3.814697E-2
method::iv::u-wave=iv(u-wave).ini	2.380388E-1	2.326508E+2	-5.340576E-3	3.814697E-2
method::iv::u-wave.tip=Measure I-Vs with microwave power	2.400225E-1	2.339935E+2	-5.493164E-3	3.814697E-2
method::lockin.tip=Measurements with lockin	2.423113E-1	2.353363E+2	-5.493164E-3	3.967285E-2
method::lockin::acquire=lockin-acquire.ini	2.439898E-1	2.366791E+2	-5.187988E-3	4.119873E-2
method::lockin::scope=manual scope.ini	2.464312E-1	2.380066E+2	-5.493164E-3	3.967285E-2
method::manual.tip=Manual adjustments	2.473467E-1	2.392731E+2	-5.187988E-3	3.967285E-2
method::manual::3t-inj=manual 3T.ini	2.499407E-1	2.405701E+2	-5.340576E-3	3.967285E-2
method::manual::3t-inj.tip=Control injected current	2.516191E-1	2.418213E+2	-5.340576E-3	4.119873E-2
method::manual::acquire=acquire.ini	2.531450E-1	2.430878E+2	-5.493164E-3	4.119873E-2
method::manual::acquire::quit=\00\00\00\01\00\00\00\10Dummy to Stop.vi	2.546709E-1	2.442932E+2	-5.187988E-3	4.119873E-2
method::manual::b-field=manual b-field.ini	2.565019E-1	2.454987E+2	-5.493164E-3	3.967285E-2
method::manual::b-field.tip=Control applied field	2.587908E-1	2.467041E+2	-5.493164E-3	3.967285E-2
method::manual::scope=manual scope.ini	2.594011E-1	2.479095E+2	-5.493164E-3	3.967285E-2
method::manual::scope::quit=\00\00\00\01\00\00\00\1Fwaveform control front panel.vi	2.618425E-1	2.490845E+2	-5.798340E-3	4.119873E-2
method::manual::setup=launch setup.ini	2.624529E-1	2.501984E+2	-5.645752E-3	3.967285E-2
method::manual::setup::quit=\00\00\00\01\00\00\00\15Chain Launch Setup.vi	2.651995E-1	2.513580E+2	-5.798340E-3	3.967285E-2
method::manual::temp=manual temperature.ini	2.670305E-1	2.524567E+2	-5.950928E-3	3.814697E-2
method::manual::temp.tip=Control the temperature	2.676409E-1	2.535553E+2	-5.950928E-3	3.814697E-2
method::manual::u-wave=manual u-wave.ini	2.693193E-1	2.546387E+2	-5.798340E-3	3.967285E-2
method::manual::u-wave.tip=Control the incident microwave power	2.706926E-1	2.556915E+2	-5.645752E-3	3.814697E-2
method::method.queue=iv queue	2.722185E-1	2.567444E+2	-5.798340E-3	3.814697E-2
method::r.tip=Measure resistance	2.735918E-1	2.577515E+2	-5.798340E-3	3.967285E-2
method::r::3t-inj=lockin.ini	2.760332E-1	2.588043E+2	-5.798340E-3	3.967285E-2
method::r::3t-inj.tip=Measure with lockin	2.780168E-1	2.597656E+2	-5.493164E-3	3.814697E-2
method::r::acquire=r histogram.ini	2.790850E-1	2.607574E+2	-5.645752E-3	3.967285E-2
method::r::acquire.tip=Measure a histogram of resistance	2.798479E-1	2.617187E+2	-5.493164E-3	3.967285E-2
method::r::b-field=R(B).ini	2.813738E-1	2.626648E+2	-5.798340E-3	3.814697E-2
method::r::b-field.tip=Measure R(B) 	2.827471E-1	2.635803E+2	-5.493164E-3	3.967285E-2
method::r::scope=manual scope.ini	2.839678E-1	2.644806E+2	-5.493164E-3	3.967285E-2
method::r::setup=manual switch.ini	2.854936E-1	2.653503E+2	-5.493164E-3	3.967285E-2
method::r::temp=R(T).ini	2.862566E-1	2.662048E+2	-5.187988E-3	4.119873E-2
method::r::temp.tip=Measure R(T)	2.868669E-1	2.670441E+2	-5.340576E-3	3.967285E-2
method::r::u-wave=lockin-V-Phi.ini	2.871721E-1	2.678680E+2	-5.340576E-3	4.119873E-2
method::r::u-wave.tip=Alternate measure with lockin	2.896135E-1	2.686768E+2	-5.493164E-3	4.119873E-2
method::scope.tip=Default oscilloscope mode	2.909868E-1	2.694397E+2	-5.493164E-3	3.967285E-2
method::setup.tip=Access the setup screens	2.920549E-1	2.702332E+2	-5.645752E-3	4.119873E-2
misc-analysis-parameters.txt=\00\00\00\01\00\00\00\1Fac (t)/dc(f) r measurement=True	2.929704E-1	2.709656E+2	-5.493164E-3	4.119873E-2
order=1	2.932756E-1	2.716827E+2	-5.645752E-3	4.119873E-2
output y=ic.av	2.940386E-1	2.724152E+2	-5.645752E-3	4.119873E-2
override dualscope ranges=True	2.954119E-1	2.730713E+2	-5.798340E-3	4.119873E-2
parameter=ic	2.969377E-1	2.737579E+2	-5.950928E-3	3.814697E-2
path autosave=C:\\Users\\${user}\\Data\\${datestamp}{%@%Y%m%d}\\${chip id}\\${device id}\\${current method}\\${temperature}{%05.1f}K	2.978533E-1	2.743683E+2	-5.798340E-3	4.119873E-2
path temp=	2.993791E-1	2.750092E+2	-5.950928E-3	3.814697E-2
plot label pattern='${chip ID}${device ID}-${iv number} @ ${temperature}{%05.1f}'	3.001421E-1	2.756195E+2	-5.950928E-3	3.967285E-2
plot routine=Plot Data to Dualscope.vi	3.009050E-1	2.761993E+2	-6.103516E-3	3.967285E-2
positive=True	3.010576E-1	2.767792E+2	-5.798340E-3	3.814697E-2
program listing=\00\00\00\00	3.022783E-1	2.773285E+2	-5.798340E-3	3.814697E-2
program listing post=\00\00\00\00	3.030412E-1	2.778473E+2	-5.493164E-3	3.967285E-2
program listing pre=\00\00\00\08\00\00\00\1Dcontrol.maximum current=45000\00\00\00\1Acontrol.minimum current=20\00\00\00($control.amplitude expression=${ic.av}*4\00\00\00\1Bcontrol.offset expression=0\00\00\004"remove x offset" [averaging.new point added="True"]\00\00\00Pstep [x=0,y=1,value=0,delta=0.05,type=0,branch=0,parameter="ic",positive="True"]\00\00\00G"running average" [buffer size=10,order=1,y name="ic",output y="ic.av"]\00\00\00\14"control current" []	3.042620E-1	2.783661E+2	-5.798340E-3	3.662109E-2
qname waveform buttons to be changed=waveform buttons to be changed	3.044145E-1	2.788696E+2	-5.645752E-3	3.967285E-2
queue:gsv new data points plot=gsv Q	3.048723E-1	2.793274E+2	-5.493164E-3	3.814697E-2
rh display select=True	3.056352E-1	2.798004E+2	-5.493164E-3	3.967285E-2
right display=True	3.065508E-1	2.801971E+2	-5.493164E-3	3.814697E-2
right x channel=0	3.073137E-1	2.806091E+2	-5.493164E-3	3.814697E-2
right y channel=1	3.074663E-1	2.810059E+2	-5.340576E-3	3.967285E-2
runtime subroutines directory name=runtime	3.079241E-1	2.813568E+2	-5.340576E-3	3.967285E-2
runtime.extra paths=0	3.080766E-1	2.817078E+2	-5.340576E-3	3.967285E-2
save all channels ?=True	3.091448E-1	2.820282E+2	-5.340576E-3	4.119873E-2
scope daq point=200	3.099077E-1	2.823334E+2	-5.493164E-3	4.119873E-2
scope daq points=200	3.099077E-1	2.826080E+2	-5.187988E-3	3.967285E-2
scope daq sample rate=2000.000000	3.100603E-1	2.828522E+2	-5.340576E-3	3.814697E-2
scope/acquire mode?=False	3.103655E-1	2.830811E+2	-5.187988E-3	3.967285E-2
script.options=2	3.109758E-1	2.833252E+2	-5.340576E-3	4.119873E-2
script.pause=False	3.109758E-1	2.834930E+2	-5.493164E-3	3.967285E-2
script.run post script=True	3.109758E-1	2.837067E+2	-5.645752E-3	3.967285E-2
script.run script=True	3.118913E-1	2.838287E+2	-5.493164E-3	3.814697E-2
setup screen parameters=\00\00\00&\00\00\00\19Override Dualscope Ranges\00\00\00\10CS1 range values\00\00\00\10CS2 range values\00\00\00\15Control CS1 amplitude\00\00\00\10Control CS1 auto\00\00\00\18Control CS1 input filter\00\00\00\12Control CS1 offset\00\00\00\12Control CS1 on/off\00\00\00\19Control CS1 output filter\00\00\00\11Control CS1 range\00\00\00\15Control CS2 amplitude\00\00\00\10Control CS2 auto\00\00\00\18Control CS2 input filter\00\00\00\12Control CS2 offset\00\00\00\12Control CS2 on/off\00\00\00\19Control CS2 output filter\00\00\00\11Control CS2 range\00\00\00\10Control VA1 auto\00\00\00\1AControl VA1 offset on/off?\00\00\00\11Control VA1 range\00\00\00\10Control VA2 auto\00\00\00\1AControl VA2 offset on/off?\00\00\00\11Control VA2 range\00\00\00\17Control find VA1 offset\00\00\00\17Control find VA2 offset\00\00\00\0FVA1 gain values\00\00\00\0FVA2 gain values\00\00\00\18control VA1 offset value\00\00\00\18control VA2 offset value\00\00\00 control fraction cs range change\00\00\00\1Dcontrol max DA output voltage\00\00\00\13daq trigger channel\00\00\00\11daq trigger level\00\00\00\10daq trigger sign\00\00\00\10daq trigger type\00\00\00$qname waveform buttons to be changed\00\00\00\1AControl CS1 auto amplitude\00\00\00\1AControl CS2 auto amplitude	3.121965E-1	2.839661E+2	-5.798340E-3	3.662109E-2
start=True	3.121965E-1	2.840729E+2	-5.798340E-3	3.967285E-2
startup routine=Logonvi	3.123491E-1	2.841949E+2	-5.798340E-3	3.814697E-2
stop methods=\00\00\00\00	3.121965E-1	2.842560E+2	-5.950928E-3	3.814697E-2
switch box=False	3.126543E-1	2.842865E+2	-5.645752E-3	3.814697E-2
switch-box-config.txt=\00\00\00\19\00\00\00\10switch box=False\00\00\00\11switch.auto=False\00\00\00\1Aswitch.current selection=0\00\00\00\0Fswitch.device=5\00\00\00\17switch.initialize=False\00\00\00%switch.lines=\\00\\00\\00\\00\\00\\00\\00\\04\00\00\00\18switch.list=\\00\\00\\00\\00\00\00\00\17switch.use=\\00\\00\\00\\00\00\00\00\08device=1\00\00\00\10switch ($config)\00\00\00\13case ("molybdenum")\00\00\01_\09$switch.line labels=\\00\\00\\00\\15\\00\\00\\00\\0DNot Connected\\00\\00\\00\\011\\00\\00\\00\\012\\00\\00\\00\\013\\00\\00\\00\\014\\00\\00\\00\\015\\00\\00\\00\\016\\00\\00\\00\\017\\00\\00\\00\\018\\00\\00\\00\\019\\00\\00\\00\\0211\\00\\00\\00\\0212\\00\\00\\00\\0213\\00\\00\\00\\0214\\00\\00\\00\\0215\\00\\00\\00\\0216\\00\\00\\00\\0217\\00\\00\\00\\0218\\00\\00\\00\\0219\\00\\00\\00\\0DNot Connected\\00\\00\\00\\0DNot Connecred\00\00\00\19\09switch.control io port=0\00\00\00\06\09break\00\00\00\10case ("niobium")\00\00\01^\09$switch.line labels=\\00\\00\\00\\15\\00\\00\\00\\0DNot Connected\\00\\00\\00\\02A1\\00\\00\\00\\02A2\\00\\00\\00\\02A3\\00\\00\\00\\02A4\\00\\00\\00\\02A5\\00\\00\\00\\02A6\\00\\00\\00\\02A7\\00\\00\\00\\02A8\\00\\00\\00\\02A9\\00\\00\\00\\02B1\\00\\00\\00\\02B2\\00\\00\\00\\02B3\\00\\00\\00\\02B4\\00\\00\\00\\02B5\\00\\00\\00\\02B6\\00\\00\\00\\02B7\\00\\00\\00\\02B8\\00\\00\\00\\02B9\\00\\00\\00\\03B10\\00\\00\\00\\0DNot Connected\00\00\00\19\09switch.control io port=2\00\00\00\06\09break\00\00\00\0Fcase ("heliox")\00\00\01v\09$switch.line labels=\\00\\00\\00\\15\\00\\00\\00\\0DNot Connected\\00\\00\\00\\0DNot Connected\\00\\00\\00\\012\\00\\00\\00\\013\\00\\00\\00\\014\\00\\00\\00\\015\\00\\00\\00\\016\\00\\00\\00\\017\\00\\00\\00\\018\\00\\00\\00\\019\\00\\00\\00\\0DNot Connected\\00\\00\\00\\0211\\00\\00\\00\\0212\\00\\00\\00\\0213\\00\\00\\00\\0214\\00\\00\\00\\0215\\00\\00\\00\\0216\\00\\00\\00\\0217\\00\\00\\00\\0218\\00\\00\\00\\0DNot Connected\\00\\00\\00\\0DNot Connected\00\00\00\19\09switch.control io port=2\00\00\00\07default\00\00\00\19\09switch.control io port=2\00\00\00\09endswitch\00\00\00\00	3.131121E-1	2.843628E+2	-5.798340E-3	3.967285E-2
switch. last cycle=True	3.125017E-1	2.843628E+2	-5.645752E-3	3.814697E-2
switch.auto=False	3.125017E-1	2.843628E+2	-5.798340E-3	3.662109E-2
switch.control io port=2	3.128069E-1	2.843323E+2	-5.493164E-3	3.814697E-2
switch.current selection=0	3.123491E-1	2.843018E+2	-5.645752E-3	3.662109E-2
switch.device=5	3.121965E-1	2.842407E+2	-5.645752E-3	3.814697E-2
switch.initialize=True	3.117388E-1	2.841339E+2	-5.645752E-3	3.662109E-2
switch.last=1	3.120439E-1	2.840424E+2	-5.645752E-3	3.967285E-2
switch.lines=\00\00\00\00\00\00\00\04	3.109758E-1	2.838898E+2	-5.493164E-3	3.967285E-2
switch.list=\00\00\00\00	3.115862E-1	2.837372E+2	-5.493164E-3	3.967285E-2
switch.use=\00\00\00\00	3.112810E-1	2.835541E+2	-5.493164E-3	4.119873E-2
taskbar buttons list=	3.105181E-1	2.834015E+2	-5.493164E-3	4.119873E-2
taskbar on=True	3.111284E-1	2.831573E+2	-5.340576E-3	4.119873E-2
taskbar.size factor=20.000000	3.103655E-1	2.829285E+2	-5.340576E-3	3.967285E-2
tdi format=Text 1.0	3.096025E-1	2.826385E+2	-5.340576E-3	4.425049E-2
temp control mode=True	3.092974E-1	2.823792E+2	-5.493164E-3	4.119873E-2
temp control sensor=-0.957600	3.082292E-1	2.820892E+2	-5.493164E-3	4.119873E-2
temp controller=2	3.080766E-1	2.817688E+2	-5.340576E-3	4.119873E-2
temp controlling sensor=0	3.080766E-1	2.814178E+2	-5.493164E-3	4.119873E-2
temp d=10.000000	3.070085E-1	2.810364E+2	-5.798340E-3	4.119873E-2
temp dt/dt=25.938746	3.071611E-1	2.806702E+2	-5.950928E-3	3.967285E-2
temp ensure stability=False	3.057878E-1	2.802582E+2	-5.950928E-3	4.119873E-2
temp gpib=12	3.053301E-1	2.798462E+2	-5.798340E-3	3.967285E-2
temp heater current=5	3.042620E-1	2.794189E+2	-6.103516E-3	4.119873E-2
temp i=30.000000	3.039568E-1	2.789154E+2	-6.256104E-3	4.119873E-2
temp p=60.000000	3.030412E-1	2.784424E+2	-5.950928E-3	4.272461E-2
temp read when acquire=True	3.028887E-1	2.779236E+2	-5.798340E-3	3.967285E-2
temp sensor 1=5.458100	3.021257E-1	2.774200E+2	-5.950928E-3	4.119873E-2
temp sensor 2=1.400000	3.012102E-1	2.768402E+2	-5.798340E-3	4.119873E-2
temp sensor 3=5.458100	3.001421E-1	2.763062E+2	-5.950928E-3	3.967285E-2
temp set rate=1.000000	2.995317E-1	2.757111E+2	-5.645752E-3	3.967285E-2
temp setpoint=40.000000	2.990740E-1	2.750854E+2	-5.798340E-3	3.967285E-2
temp setpoint sensor=6.415700	2.970903E-1	2.744904E+2	-5.645752E-3	4.119873E-2
temp stability criteria=0	2.963274E-1	2.738190E+2	-5.645752E-3	3.967285E-2
temp use conversion data=False	2.954119E-1	2.731476E+2	-5.645752E-3	3.967285E-2
temp.activate changes=False	2.944963E-1	2.724457E+2	-5.493164E-3	3.967285E-2
temp.autopid=False	2.938860E-1	2.717743E+2	-5.645752E-3	3.967285E-2
temp.dt=NaN	2.923601E-1	2.709961E+2	-5.493164E-3	4.119873E-2
temp.force reset=False	2.912920E-1	2.702637E+2	-5.493164E-3	4.119873E-2
temp.heater auto=True	2.899187E-1	2.694855E+2	-5.493164E-3	4.119873E-2
temp.pid source=0	2.891558E-1	2.686920E+2	-5.493164E-3	3.967285E-2
temp.program sweep=False	2.880876E-1	2.678680E+2	-5.340576E-3	4.119873E-2
temp.rate poly=2	2.862566E-1	2.670593E+2	-5.645752E-3	3.967285E-2
temp.set power=0.000000	2.851885E-1	2.662048E+2	-5.493164E-3	3.967285E-2
temp.store=8	2.835100E-1	2.653046E+2	-5.645752E-3	3.967285E-2
temp.sweep=False	2.827471E-1	2.644348E+2	-5.798340E-3	3.967285E-2
temp.sweep hold=\00\00\00\00	2.806108E-1	2.634888E+2	-5.645752E-3	3.967285E-2
temp.sweep setpoints=\00\00\00\00	2.803057E-1	2.626038E+2	-5.950928E-3	3.967285E-2
temp.sweep times=\00\00\00\00	2.786272E-1	2.616272E+2	-5.798340E-3	4.119873E-2
temperature=5.458100	2.771013E-1	2.606659E+2	-6.103516E-3	3.814697E-2
turbosave=False	2.752703E-1	2.596741E+2	-5.798340E-3	3.967285E-2
type=0	2.742021E-1	2.586517E+2	-5.950928E-3	3.967285E-2
user=gb119	2.729814E-1	2.576447E+2	-5.950928E-3	3.967285E-2
user dir=C:\00ers	2.711504E-1	2.565918E+2	-5.798340E-3	3.967285E-2
uwave control channel=1	2.709978E-1	2.555389E+2	-5.645752E-3	3.814697E-2
uwave input channel=4	2.682512E-1	2.544556E+2	-5.645752E-3	3.967285E-2
uwave number of harmonics=0	2.667253E-1	2.533722E+2	-5.645752E-3	3.814697E-2
uwave schottky set voltage=0	2.651995E-1	2.522430E+2	-5.645752E-3	3.967285E-2
uwave to max=False	2.629106E-1	2.511292E+2	-5.798340E-3	3.814697E-2
uwave to min=True	2.621477E-1	2.499695E+2	-5.645752E-3	3.967285E-2
uwave-config.txt=\00\00\00\08\00\00\00\17uwave control channel=1\00\00\00"uwave Frequency(GHz)=120.000000E-2\00\00\00\15uwave input channel=4\00\00\00!uwave measuremnt duration (ms)=50\00\00\00\1Buwave number of harmonics=0\00\00\00&uwave Schottky set voltage=0.000000E+0\00\00\00\11uwave to min=True\00\00\00\12uwave to max=False	2.603166E-1	2.487946E+2	-5.645752E-3	4.119873E-2
va1 gain values=\00\00\00\04?�\00\00\00\00\00\00@$\00\00\00\00\00\00@Y\00\00\00\00\00\00@�@\00\00\00\00\00	2.594011E-1	2.476044E+2	-5.645752E-3	3.967285E-2
va2 gain values=\00\00\00\04?�\00\00\00\00\00\00@$\00\00\00\00\00\00@Y\00\00\00\00\00\00@�@\00\00\00\00\00	2.572649E-1	2.463837E+2	-5.340576E-3	4.119873E-2
value=0.000000	2.560442E-1	2.451782E+2	-5.493164E-3	3.967285E-2
voltage gain 1=3	2.537554E-1	2.438965E+2	-5.187988E-3	4.119873E-2
voltage gain 2=3	2.513140E-1	2.426758E+2	-5.493164E-3	3.967285E-2
x=0	2.493303E-1	2.413788E+2	-5.187988E-3	4.272461E-2
x name=	2.474993E-1	2.400665E+2	-5.645752E-3	3.814697E-2
y=1	2.453630E-1	2.387543E+2	-5.340576E-3	4.272461E-2
y name=ic	2.430742E-1	2.374115E+2	-5.493164E-3	4.119873E-2
yttrium-3t-config.txt=\00\00\00\06\00\00\00\143t control channel=0\00\00\00\0B3t device=0\00\00\00\143t measure channel=2\00\00\00\193t ramp step=10.000000E-3\00\00\00\1C3t scale factor=10.000000E+0\00\00\00\1A3t update rate=1.000000E+3	2.413958E-1	2.360535E+2	-5.645752E-3	3.967285E-2
yttrium-acquisition-config.txt=\00\00\00Y\00\00\000acquisition routine="switch-gen-acq-feedback.vi"\00\00\00\1Ecalculate phase shifts="False"\00\00\00J$channel data=\\00\\00\\00\\04\\00\\00\\00\\00\\00\\00\\00\\02\\00\\00\\00\\01\\00\\00\\00\\03\00\00\00!$channel multipliers=\\00\\00\\00\\00\00\00\00\18channel string="3,2,1,0"\00\00\00"control cs1 amplitude=20.000000E+0\00\00\00\18control cs1 auto="False"\00\00\00"control cs1 auto amplitude="False"\00\00\00\1Acontrol cs1 input filter=1\00\00\00\1Econtrol cs1 offset=0.000000E+0\00\00\00\19control cs1 on/off="True"\00\00\00\1Bcontrol cs1 output filter=3\00\00\00\1Fcontrol cs1 periods=1.500000E+0\00\00\00\13control cs1 range=0\00\00\00\1Ccontrol cs1 waveform shape=0\00\00\00\1Fcontrol cs1 waveform symmetry=1\00\00\00!control cs2 amplitude=0.000000E+0\00\00\00\18control cs2 auto="False"\00\00\00"control cs2 auto amplitude="False"\00\00\00\1Acontrol cs2 input filter=1\00\00\00\1Econtrol cs2 offset=0.000000E+0\00\00\00\19control cs2 on/off="True"\00\00\00\1Bcontrol cs2 output filter=3\00\00\00\1Fcontrol cs2 periods=1.000000E+0\00\00\00\13control cs2 range=0\00\00\00\1Ccontrol cs2 waveform shape=0\00\00\00\1Fcontrol cs2 waveform symmetry=1\00\00\00\19control digital channel=0\00\00\00\1Fcontrol find va1 offset="False"\00\00\00\1Fcontrol find va2 offset="False"\00\00\00.control fraction cs range change=980.000000E-3\00\00\00-control fraction data for offset=50.000000E-3\00\00\00.control fraction va range change=950.000000E-3\00\00\00-control max ac signal for offset=50.000000E-3\00\00\00)control max ad input voltage=10.000000E+0\00\00\00*control max da output voltage=10.000000E+0\00\00\00)control single shot va offset find="True"\00\00\00\18control va1 auto="False"\00\00\00"control va1 lowest voltage range=0\00\00\00"control va1 offset on/off?="False"\00\00\00$control va1 offset value=0.000000E+0\00\00\00\13control va1 range=3\00\00\00\18control va2 auto="False"\00\00\00"control va2 lowest voltage range=0\00\00\00"control va2 offset on/off?="False"\00\00\00$control va2 offset value=0.000000E+0\00\00\00\13control va2 range=3\00\00\00j$cs1 range values=\\00\\00\\00\\04@$\\00\\00\\00\\00\\00\\00@Y\\00\\00\\00\\00\\00\\00@�@\\00\\00\\00\\00\\00@È\\00\\00\\00\\00\\00\00\00\00j$cs2 range values=\\00\\00\\00\\04@$\\00\\00\\00\\00\\00\\00@Y\\00\\00\\00\\00\\00\\00@�@\\00\\00\\00\\00\\00@È\\00\\00\\00\\00\\00\00\00\00\0Fcurrent range=1\00\00\00\12current source 1=3\00\00\00\12current source 2=0\00\00\00\0Fdaq card type=0\00\00\00\1Bdaq clear all tasks="False"\00\00\00\1Fdaq correct multiplexing="True"\00\00\00\19daq da channel string=0,1\00\00\00)daq da generation update rate=4.630287E+3\00\00\00\11daq da points=200\00\00\00\1Adaq data is scaled="False"\00\00\00\1Ddaq delay periods=0.000000E+0\00\00\00\0Edaq decice 2=5\00\00\00\0Fdaq device id=4\00\00\00&$daq error=\\00\\00\\00\\00\\00\\00\\00\\00\\00\00\00\00\1Cdaq external trigger="False"\00\00\00\1Adaq high limit=2.207352E+0\00\00\00\12daq ivs averaged=1\00\00\00\1Adaq low limit=-2.199799E+0\00\00\00\19daq optimize gains="True"\00\00\00$daq periods to acquire=900.000000E-3\00\00\00\0Fdaq points=1000\00\00\00\0Edaq readings=1\00\00\00\1Cdaq sample rate=10.000000E+3\00\00\00\15daq scale data="True"\00\00\00\16daq time  out?="False"\00\00\00\15daq trigger channel=1\00\00\00\1Ddaq trigger level=1.000000E+0\00\00\00\18daq trigger sign="False"\00\00\00\12daq trigger type=1\00\00\00{$device multiplication factors=\\00\\00\\00\\04?�\\00\\00\\00\\00\\00\\00@$\\00\\00\\00\\00\\00\\00?�\\00\\00\\00\\00\\00\\00@$\\00\\00\\00\\00\\00\\00\00\00\00 override dualscope ranges="True"\00\00\00Eqname waveform buttons to be changed="waveform buttons to be changed"\00\00\00\13scope daq point=200\00\00\00\14scope daq points=200\00\00\00!scope daq sample rate=2.000000E+3\00\00\00\1Ascope/acquire mode?="True"\00\00\00k$va1 gain values=\\00\\00\\00\\04?�\\00\\00\\00\\00\\00\\00@$\\00\\00\\00\\00\\00\\00@Y\\00\\00\\00\\00\\00\\00@�@\\00\\00\\00\\00\\00\00\00\00k$va2 gain values=\\00\\00\\00\\04?�\\00\\00\\00\\00\\00\\00@$\\00\\00\\00\\00\\00\\00@Y\\00\\00\\00\\00\\00\\00@�@\\00\\00\\00\\00\\00\00\00\00\10voltage gain 1=3\00\00\00\10voltage gain 2=3	2.397173E-1	2.346649E+2	-5.645752E-3	3.814697E-2
	2.381914E-1	2.333069E+2	-5.950928E-3	3.814697E-2
	2.362078E-1	2.318573E+2	-5.645752E-3	3.967285E-2
	2.343767E-1	2.304687E+2	-6.103516E-3	3.967285E-2
	2.316301E-1	2.290192E+2	-5.798340E-3	3.967285E-2
	2.302568E-1	2.275696E+2	-5.950928E-3	3.967285E-2
	2.282732E-1	2.260895E+2	-5.798340E-3	3.967285E-2
	2.258318E-1	2.246094E+2	-5.798340E-3	3.814697E-2
	2.236956E-1	2.230988E+2	-5.950928E-3	3.967285E-2
	2.212542E-1	2.215881E+2	-5.798340E-3	3.814697E-2
	2.204912E-1	2.200470E+2	-6.103516E-3	3.814697E-2
	2.172869E-1	2.184753E+2	-5.493164E-3	3.967285E-2
	2.154558E-1	2.169495E+2	-5.798340E-3	3.967285E-2
	2.137773E-1	2.153473E+2	-5.645752E-3	3.967285E-2
	2.122515E-1	2.137604E+2	-5.950928E-3	3.967285E-2
	2.099627E-1	2.121582E+2	-5.645752E-3	4.119873E-2
	2.073687E-1	2.105103E+2	-5.340576E-3	3.967285E-2
	2.055376E-1	2.088776E+2	-5.645752E-3	3.967285E-2
	2.024858E-1	2.071991E+2	-5.493164E-3	4.119873E-2
	2.000444E-1	2.055359E+2	-5.798340E-3	4.119873E-2
