# Dataset "10K_dd_0s" exported from GenX on Fri Sep 20 15:59:06 2019
# Column lables:
# x	I_simulated	I	error(I)
2.704257726290195535e-02 4.279563759271761900e-03 4.304092579961241172e-03 9.870093782637538249e-05
2.758342880815999390e-02 2.974642084809192219e-03 2.991228954447177832e-03 8.001743906116417864e-05
2.813509738432319607e-02 1.993969762212880002e-03 1.866827306490676311e-03 6.119022750629555640e-05
2.869779933200965888e-02 1.478376844760449088e-03 1.305839673025614885e-03 4.980192669275502299e-05
2.927175531864985303e-02 1.287533663906867843e-03 1.288106953692965328e-03 4.810775847657265794e-05
2.985719042502284898e-02 1.168048954151675294e-03 1.288165058754711352e-03 6.114980163935126111e-05
3.045433423352330443e-02 9.620237977222116394e-04 1.121493841417322418e-03 5.437111897269834311e-05
3.106342091819377232e-02 6.951535005164738651e-04 8.094076466100302196e-04 4.432270095045042700e-05
3.168468933655764486e-02 4.996747785595508952e-04 4.747937460840053869e-04 3.246645237913320788e-05
3.231838312328880192e-02 4.643315542262942087e-04 4.178005057020510535e-04 2.942311600548965441e-05
3.296475078575457351e-02 5.495370258186732700e-04 5.278818420351178570e-04 3.168422400011192656e-05
3.362404580146967359e-02 6.311250589451124215e-04 6.796794655154021411e-04 3.471952573163998216e-05
3.429652671749906789e-02 6.152419121876346588e-04 6.835122491744638831e-04 3.339895555355684785e-05
3.498245725184905008e-02 5.115095542626264076e-04 4.940211519302796419e-04 2.710147849801143683e-05
3.568210639688602914e-02 4.040136273424615575e-04 3.498454100586070739e-04 2.207495089005362981e-05
3.639574852482375250e-02 3.607922549111639791e-04 3.161653101240570560e-04 2.030014592005990510e-05
3.712366349532023047e-02 3.740166689656805577e-04 3.649272100963546722e-04 2.100855043561932148e-05
3.786613676522664063e-02 3.812394711499270290e-04 4.352340919684021870e-04 2.212113625773672255e-05
3.862345950053117094e-02 3.337000020884169841e-04 3.633142114669061042e-04 1.767794587550898405e-05
3.939592869054179408e-02 2.389143102502474592e-04 2.668930587135553197e-04 1.460497773254997684e-05
4.018384726435263177e-02 1.428185078605609653e-04 1.238383768863354295e-04 9.617989049555720156e-06
4.098752420963967802e-02 8.170863874271542854e-05 6.175182247167115802e-05 6.623554078779582084e-06
4.180727469383247602e-02 5.664628730018991766e-05 5.170580315314849377e-05 5.961936939669168623e-06
4.264342018770912734e-02 4.780362457507495724e-05 4.032705936743813900e-05 5.081123749129488475e-06
4.349628859146330295e-02 4.162337565190336674e-05 4.796815600784250076e-05 5.257178883420374816e-06
4.436621436329257762e-02 3.876488527093072974e-05 3.811247754076972172e-05 4.446483394245065497e-06
4.525353865055842251e-02 4.176836532695157585e-05 4.293684320601256457e-05 4.629167807893584480e-06
4.615860942356959928e-02 4.554293024279633211e-05 4.602393647102506432e-05 4.743074121916286355e-06
4.708178161204099044e-02 4.394705653948192931e-05 4.490887962152236023e-05 4.538560158924869923e-06
4.802341724428181580e-02 4.004448222132485390e-05 2.681254484491645744e-05 3.404745592527766313e-06
4.898388558916744878e-02 4.249685791968547580e-05 2.777750420573092371e-05 3.355277913539161153e-06
4.996356330095079457e-02 5.204917000470790493e-05 4.211935309150876405e-05 4.058077156546996816e-06
5.096283456696981684e-02 5.826563080446897451e-05 5.739002886148696244e-05 4.614735513107245824e-06
5.198209125830920846e-02 5.241182181424727256e-05 5.542042513554243301e-05 4.388668442589233907e-06
5.302173308347539471e-02 3.818108236939126836e-05 3.840888994117094970e-05 3.600862784291009821e-06
5.408216774514490455e-02 2.565965221780118637e-05 1.268528712565899767e-05 2.075260723439327394e-06
5.516381110004780347e-02 1.932236219978491712e-05 1.321907601638194539e-05 2.015459391472551830e-06
5.626708732204875607e-02 1.695484900936995273e-05 1.953834023111811167e-05 2.366638359716158149e-06
5.739242906848973647e-02 1.611159594691027449e-05 1.611024467807497089e-05 2.102377778595120739e-06
5.854027764985952897e-02 1.595072695980638265e-05 1.692569414183946156e-05 2.072186291831878860e-06
5.971108320285671567e-02 1.575398761919390823e-05 1.521798481330166453e-05 1.919237810079778561e-06
6.090530486691385359e-02 1.599400267075933480e-05 1.147045736009177690e-05 1.613500893051736189e-06
6.212341096425212650e-02 1.783345491933741310e-05 1.149472195458025235e-05 1.565605528522269324e-06
6.336587918353717153e-02 1.959045687877949260e-05 1.804030193838660948e-05 1.908837658668016623e-06
6.463319676720792606e-02 1.804033972323373290e-05 1.996410826311912926e-05 1.946982191215796084e-06
6.592586070255208874e-02 1.364017811671679665e-05 1.524470736964305118e-05 1.643528285010541351e-06
6.724437791660313468e-02 9.772489679547128618e-06 5.593937224456956763e-06 9.738604591490279667e-07
6.858926547493519876e-02 8.093645621770556990e-06 7.045554493123526125e-06 1.069512944171761591e-06
6.996105078443390357e-02 8.164559403043256225e-06 6.934047653836900718e-06 1.022691154999405557e-06
7.136027180012258220e-02 8.754237452871756873e-06 9.250762705891104216e-06 1.164830389114918512e-06
7.278747723612502551e-02 8.619771177024033700e-06 8.034155586277295420e-06 1.054984071339698102e-06
7.424322678084753491e-02 8.297175336247057748e-06 7.179959904099708591e-06 9.748945880553438986e-07
7.572809131646449088e-02 8.327243221014050216e-06 5.596904006986224247e-06 8.439934603360373264e-07
7.724265314279378514e-02 7.524194648031651885e-06 7.404800408351746972e-06 9.532246559019721461e-07
7.878750620564967111e-02 6.292270679878881310e-06 6.804611668019649059e-06 8.838961296633055260e-07
8.036325632976265565e-02 5.577390397758507794e-06 5.386183083400973466e-06 7.781892331494974299e-07
8.197052145635791431e-02 5.345153240122643465e-06 4.202210475334692538e-06 6.745990372649656368e-07
8.360993188548507260e-02 5.854623977853495674e-06 5.725708224248607829e-06 7.804017181838348015e-07
8.528213052319476295e-02 5.681120015752429519e-06 6.374746496712696306e-06 8.091339617521491258e-07
8.698777313365865793e-02 5.209958494094735219e-06 4.020140490852761407e-06 6.225126377125198442e-07
8.872752859633183109e-02 5.044408902605046472e-06 4.217363872733506686e-06 6.231248157046984111e-07
9.050207916825847576e-02 4.476840313608539891e-06 5.224702955782869306e-06 8.086467047302354548e-07
9.231212075162364972e-02 4.543226735706328142e-06 4.721081442312792978e-06 7.691628621165700961e-07
9.415836316665611438e-02 4.207036830823376693e-06 3.052440128638774726e-06 6.125715838091059986e-07
9.604153042998922474e-02 4.506130487973989730e-06 3.413713201819074882e-06 6.335515858552780563e-07
9.796236103858901867e-02 4.171249539387376332e-06 5.084537348042017640e-06 7.499388800975580959e-07
9.992160825936079183e-02 4.037285238981130439e-06 2.989017030857340742e-06 5.721798630846678368e-07
1.019200404245480113e-01 3.786337969616156383e-06 3.245553427369841728e-06 5.855368755533363238e-07
1.039584412330389757e-01 3.789978068318636206e-06 4.328357978547803906e-06 6.667916637586956177e-07
1.060376100576997660e-01 3.675151615048274855e-06 4.320885081693829236e-06 6.628605088251059485e-07
1.081583622588537519e-01 3.710510607133558808e-06 5.605655456377001399e-06 7.713722484515970517e-07
1.103215295040308463e-01 3.512140045620424218e-06 4.758239932035129038e-06 6.738231853705546210e-07
1.125279600941114511e-01 3.515214592829430991e-06 4.426953669793096107e-06 6.348225562706057684e-07
1.147785192959936834e-01 3.249449375909211763e-06 3.596993883402336389e-06 5.705657030787169786e-07
1.170740896819135457e-01 3.507655559340210083e-06 3.398991522287208054e-06 5.427520973943423259e-07
1.194155714755518183e-01 3.120592679173794693e-06 4.442668529430664076e-06 6.067835480828151430e-07
1.218038829050628602e-01 3.385076928797282627e-06 4.866598601085505888e-06 6.206450988475054276e-07
1.242399605631641368e-01 3.093985812269914812e-06 3.550251597708986257e-06 5.157229219968220648e-07
1.267247597744274312e-01 3.107303426703639823e-06 3.701899063495063829e-06 5.159535000118471339e-07
1.292592549699159710e-01 3.203130800882941433e-06 4.670854928255691733e-06 5.702096279840913936e-07
1.318444400693142837e-01 2.941657708394361218e-06 3.950811946686417147e-06 5.168195668108307646e-07
1.344813288707005783e-01 3.097414728143148825e-06 3.192121267474893749e-06 4.566871787701436131e-07
1.371709554481146121e-01 3.007037795771092374e-06 3.477728692769236432e-06 4.731274765377433184e-07
1.399143745570768926e-01 2.873978952512181997e-06 3.576854708292680412e-06 4.746625574480815949e-07
1.427126620482184471e-01 3.036734190863145857e-06 2.045768581590581251e-06 3.582914999783522227e-07
1.455669152891828078e-01 2.866198638443082629e-06 3.270019557355669276e-06 4.466206230848534264e-07
1.484782535949664695e-01 2.897080667471187947e-06 2.335925824942724826e-06 3.789187264969138291e-07
1.514478186668657966e-01 2.854495746095546558e-06 2.549549817589900089e-06 3.883279160359189032e-07
1.544767750402031292e-01 2.884631670626646607e-06 2.881062410258724572e-06 4.142399187100640165e-07
1.575663105410071707e-01 2.817657803334468817e-06 3.299032676717648705e-06 4.356316731840070795e-07
1.607176367518273197e-01 2.802361186546454064e-06 2.392938992812098326e-06 3.719405672430531125e-07
1.639319894868638272e-01 2.820376129683457591e-06 3.046187851736210361e-06 4.116659668814807822e-07
1.672106292766011304e-01 2.777959394122019543e-06 2.820987050976440103e-06 3.954813152207124841e-07
1.705548418621331552e-01 2.788576259064550510e-06 2.140009612153616604e-06 3.494257809032094075e-07
1.739659386993758217e-01 2.755630653173175091e-06 1.564423711868052431e-06 3.045597772066771050e-07
1.774452574733633159e-01 2.745932048899585879e-06 2.080639275377310289e-06 3.530518729729858625e-07
1.809941626228305789e-01 2.768269700294060215e-06 2.351310108315960730e-06 3.934932765835236282e-07
1.846140458752871805e-01 2.688799854855276790e-06 2.257648860313436486e-06 3.902068127269087209e-07
1.883063267927929385e-01 2.792811292497275739e-06 2.549099071875838838e-06 4.232459939776960426e-07
1.920724533286488067e-01 2.639921765135241080e-06 2.077164382393558573e-06 4.030520402627360555e-07
1.959139023952217729e-01 2.784652392110265782e-06 3.287816573700748635e-06 5.462201856878910335e-07
1.998321804431262283e-01 2.658098544162517483e-06 2.399995230127975408e-06 4.884248035784124700e-07
2.038288240519887662e-01 2.700471257780271128e-06 2.046126137238875184e-06 4.541362430790721591e-07
2.079054005330285282e-01 2.735159859424340908e-06 2.226257618834364689e-06 4.859258523246468164e-07
2.120635085436890777e-01 2.627147489258836765e-06 1.567068647617593194e-06 4.237674580015926660e-07
2.162011070568556903e-01 2.725342114602971484e-06 2.167485474545734469e-06 5.739338400323294059e-07
